City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,61.9,77,89,12.93,overcast clouds
1,Dikson,RU,73.5069,80.5464,-22.02,95,69,11.59,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,50.11,66,75,20.71,broken clouds
3,Ambilobe,MG,-13.2,49.05,72.9,77,76,3.38,broken clouds
4,Rikitea,PF,-23.1203,-134.9692,76.73,73,43,15.35,scattered clouds
5,Nome,US,64.5011,-165.4064,8.67,78,90,21.85,snow
6,Lebu,CL,-37.6167,-73.65,52.7,89,7,19.93,clear sky
7,Chokurdakh,RU,70.6333,147.9167,-27.22,96,100,9.95,overcast clouds
8,Banda Aceh,ID,5.5577,95.3222,78.08,82,100,10.33,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,53.26,47,20,23.02,few clouds
10,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,41,0,5.75,clear sky
11,La Ronge,CA,55.1001,-105.2842,7.05,78,90,5.75,light snow
12,Mohpa,IN,21.3167,78.8167,63.75,49,8,4.7,clear sky
13,Hithadhoo,MV,-0.6,73.0833,81.72,76,44,10.0,scattered clouds
14,Luau,AO,-10.7073,22.2247,62.64,96,20,2.86,few clouds
15,Christchurch,NZ,-43.5333,172.6333,82.6,42,23,5.99,few clouds
16,Saskylakh,RU,71.9167,114.0833,-17.16,97,100,13.73,overcast clouds
17,Busselton,AU,-33.65,115.3333,76.08,42,8,7.25,clear sky
18,Bredasdorp,ZA,-34.5322,20.0403,57.27,76,100,6.6,overcast clouds
19,Albany,US,42.6001,-73.9662,31.08,70,4,6.85,clear sky
20,Diyarb Najm,EG,30.7542,31.4393,57.58,76,100,3.65,overcast clouds
21,Hami,CN,42.8,93.45,24.76,58,15,3.2,few clouds
22,Sarangani,PH,5.4033,125.4636,82.29,76,69,8.48,broken clouds
23,Padilla,CO,3.2204,-76.3139,69.37,95,99,3.76,overcast clouds
24,Laishevo,RU,55.4046,49.5504,35.82,95,100,20.51,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,59.09,94,0,3.44,clear sky
26,Ust-Koksa,RU,50.2696,85.6108,18.46,98,84,1.59,broken clouds
27,Vao,NC,-22.6667,167.4833,76.98,77,67,13.56,broken clouds
28,Hobart,AU,-42.8794,147.3294,59.11,62,40,4.0,scattered clouds
29,Airai,TL,-8.9266,125.4092,65.89,82,100,2.91,heavy intensity rain
30,Mataura,NZ,-46.1927,168.8643,65.73,84,100,2.06,overcast clouds
31,Huarmey,PE,-10.0681,-78.1522,67.3,85,99,9.73,overcast clouds
32,Burgeo,CA,47.6167,-57.6152,37.44,79,100,35.41,overcast clouds
33,Rehlingen-Siersburg,DE,49.3667,6.6833,39.13,99,100,8.37,light rain
34,Komsomolskiy,UZ,40.4272,71.7189,41.72,48,100,0.0,overcast clouds
35,Miranda,CO,3.2499,-76.2281,68.13,95,99,4.38,overcast clouds
36,Coihaique,CL,-45.5752,-72.0662,52.41,58,0,4.61,clear sky
37,Flin Flon,CA,54.7682,-101.865,4.98,92,100,5.64,light snow
38,Asau,RO,46.4333,26.4,34.75,79,100,0.94,overcast clouds
39,Altay,CN,47.8667,88.1167,28.53,81,100,1.72,light snow
40,Coquimbo,CL,-29.9533,-71.3436,58.73,88,0,4.61,clear sky
41,Roald,NO,62.5833,6.1333,34.32,69,90,18.41,snow
42,Yellowknife,CA,62.456,-114.3525,-12.59,94,90,13.8,light snow
43,Atlantic City,US,39.3643,-74.4229,47.98,54,90,3.44,overcast clouds
44,Kodiak,US,57.79,-152.4072,9.91,85,1,6.91,clear sky
45,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.96,86,3,5.35,clear sky
46,Carnarvon,AU,-24.8667,113.6333,78.87,69,0,11.5,clear sky
47,Port Lincoln,AU,-34.7333,135.8667,63.64,56,37,11.18,scattered clouds
48,Arraial Do Cabo,BR,-22.9661,-42.0278,71.71,76,1,2.46,clear sky
49,Tosya,TR,41.0155,34.0401,39.43,76,36,3.49,scattered clouds
50,Wairoa,NZ,-39.0333,177.3667,74.55,51,100,4.0,overcast clouds
51,Ternate,ID,0.8,127.4,80.22,81,100,11.16,light rain
52,Kruisfontein,ZA,-34.0033,24.7314,56.88,82,100,2.71,overcast clouds
53,Nantucket,US,41.2835,-70.0995,37.96,52,1,9.22,clear sky
54,Jamestown,US,42.097,-79.2353,35.02,84,90,5.99,overcast clouds
55,North Bend,US,43.4065,-124.2243,49.91,96,1,4.61,mist
56,Chapais,CA,49.7834,-74.8492,4.78,94,100,9.37,overcast clouds
57,Riverton,US,40.5219,-111.9391,50.18,71,1,3.0,clear sky
58,Sitka,US,57.0531,-135.33,28.29,80,40,6.91,light snow
59,Aranos,NA,-24.1333,19.1167,68.05,72,100,11.23,light rain
60,Lake Havasu City,US,34.4839,-114.3224,69.1,19,1,1.01,clear sky
61,Provideniya,RU,64.3833,-173.3,30.18,98,100,13.09,snow
62,Mecca,SA,21.4267,39.8261,70.72,53,0,2.26,clear sky
63,Kapaa,US,22.0752,-159.319,75.52,69,1,3.0,clear sky
64,Lodja,CD,-3.4833,23.4333,69.13,99,100,1.97,light rain
65,Butaritari,KI,3.0707,172.7902,82.29,76,83,12.26,broken clouds
66,Srednekolymsk,RU,67.45,153.6833,-14.53,97,100,12.66,overcast clouds
67,Treinta Y Tres,UY,-33.2333,-54.3833,58.6,91,16,8.41,few clouds
68,Impfondo,CG,1.6381,18.0667,70.65,97,91,1.19,light rain
69,Port Alfred,ZA,-33.5906,26.891,64.83,79,100,6.29,overcast clouds
70,Mareeba,AU,-17.0,145.4333,91.44,53,89,9.15,overcast clouds
71,Alyangula,AU,-13.8483,136.4192,89.69,60,100,7.85,overcast clouds
72,Yahotyn,UA,50.2798,31.7625,24.71,86,52,8.14,broken clouds
73,Puerto Ayora,EC,-0.7393,-90.3518,67.68,91,64,5.79,broken clouds
74,Araouane,ML,18.9048,-3.5265,67.96,18,49,11.41,scattered clouds
75,Zhangye,CN,38.9342,100.4517,29.95,40,0,6.08,clear sky
76,Tuy Hoa,VN,13.0833,109.3,72.07,70,84,13.82,broken clouds
77,Yeppoon,AU,-23.1333,150.7333,85.78,63,0,11.41,clear sky
78,Atuona,PF,-9.8,-139.0333,78.93,71,1,16.33,clear sky
79,East London,ZA,-33.0153,27.9116,64.76,78,98,5.64,overcast clouds
80,Longyearbyen,SJ,78.2186,15.6401,27.91,89,100,12.26,overcast clouds
81,Geraldton,AU,-28.7667,114.6,95.41,18,0,20.71,clear sky
82,Barrow,US,71.2906,-156.7887,-11.18,70,1,23.02,clear sky
83,Bograd,RU,54.2344,90.8328,31.75,75,61,9.33,broken clouds
84,Karasjok,NO,69.4719,25.5112,8.71,100,100,1.01,overcast clouds
85,Henties Bay,NA,-22.116,14.2845,59.86,91,0,6.06,clear sky
86,Noumea,NC,-22.2763,166.4572,86.0,99,89,2.86,light rain
87,Gualaceo,EC,-2.9,-78.7833,62.26,97,100,3.2,overcast clouds
88,Ribeira Grande,PT,38.5167,-28.7,65.25,81,100,11.65,overcast clouds
89,Vaini,TO,-21.2,-175.2,84.36,89,40,11.5,light rain
90,Corinto,GR,37.9407,22.9573,57.45,87,97,5.86,overcast clouds
91,Hof,DE,50.3167,11.9167,31.91,82,90,12.66,overcast clouds
92,Nanortalik,GL,60.1432,-45.2371,30.83,89,100,20.69,snow
93,Clyde River,CA,70.4692,-68.5914,5.23,92,71,14.97,broken clouds
94,Freeport,US,40.6576,-73.5832,42.03,56,1,1.01,clear sky
95,Souillac,MU,-20.5167,57.5167,79.36,88,20,3.44,few clouds
96,Hengshui,CN,37.7322,115.7011,45.72,39,0,2.89,clear sky
97,Bluff,NZ,-46.6,168.3333,59.14,97,99,6.87,overcast clouds
98,Natal,BR,-5.795,-35.2094,81.25,89,75,10.36,broken clouds
99,Avarua,CK,-21.2078,-159.775,77.05,94,75,5.75,moderate rain
100,Salalah,OM,17.0151,54.0924,71.69,46,0,3.44,clear sky
101,Tiarei,PF,-17.5333,-149.3333,86.02,76,75,15.77,broken clouds
102,Torbay,CA,47.6666,-52.7314,43.68,86,40,25.32,scattered clouds
103,Cayenne,GF,4.9333,-52.3333,75.24,88,0,1.99,clear sky
104,Ponta Do Sol,PT,32.6667,-17.1,65.03,69,99,8.93,overcast clouds
105,Tuatapere,NZ,-46.1333,167.6833,63.43,86,87,3.76,overcast clouds
106,Claudio,BR,-20.4433,-44.7658,63.03,93,0,9.64,clear sky
107,Kaa-Khem,RU,51.6833,94.7333,7.61,95,100,2.68,light snow
108,Klaksvik,FO,62.2266,-6.589,34.72,69,93,8.16,light rain
109,Hilo,US,19.7297,-155.09,80.33,80,20,11.5,light rain
110,Farsund,NO,58.0948,6.8047,32.05,65,90,23.04,overcast clouds
111,Severo-Kurilsk,RU,50.6789,156.125,38.46,97,100,14.74,moderate rain
112,Ulladulla,AU,-35.35,150.4667,70.77,90,100,8.55,overcast clouds
113,Port Blair,IN,11.6667,92.75,81.82,77,55,11.21,broken clouds
114,Shimoda,JP,34.6667,138.95,58.1,59,0,27.29,clear sky
115,Bambous Virieux,MU,-20.3428,57.7575,79.21,88,20,3.44,few clouds
116,Bengkulu,ID,-3.8004,102.2655,82.53,71,100,1.81,overcast clouds
117,Mehamn,NO,71.0357,27.8492,19.26,76,29,9.06,scattered clouds
118,Sheboygan,US,43.7333,-87.9334,36.48,90,40,3.0,scattered clouds
119,Turinskaya Sloboda,RU,57.6232,64.3858,21.58,93,26,7.49,scattered clouds
120,Grindavik,IS,63.8424,-22.4338,27.07,93,20,9.22,few clouds
121,Pontianak,ID,-0.0333,109.3333,84.18,74,20,11.5,few clouds
122,Hofn,IS,64.2539,-15.2082,30.69,53,5,9.82,clear sky
123,Isangel,VU,-19.55,169.2667,87.91,58,40,6.91,scattered clouds
124,Bethel,US,41.3712,-73.414,38.48,60,1,1.01,clear sky
125,Taoudenni,ML,22.6783,-3.9836,64.92,17,100,16.49,overcast clouds
126,Tasiilaq,GL,65.6145,-37.6368,23.16,57,0,7.4,clear sky
127,Honiara,SB,-9.4333,159.95,84.63,75,100,3.47,light rain
128,Banjarmasin,ID,-3.3244,114.591,80.74,76,100,4.72,overcast clouds
129,Narsaq,GL,60.9167,-46.05,21.42,61,100,10.29,light snow
130,Shache,CN,38.4167,77.2406,26.96,35,100,2.13,overcast clouds
131,Talnakh,RU,69.4865,88.3972,-25.8,97,96,13.65,overcast clouds
132,Cape Town,ZA,-33.9258,18.4232,63.09,70,20,5.99,few clouds
133,Mazamitla,MX,19.9167,-103.0333,54.57,45,0,1.77,clear sky
134,Nyurba,RU,63.2842,118.3319,4.28,96,100,6.26,light snow
135,Meulaboh,ID,4.1363,96.1285,79.56,75,92,2.82,overcast clouds
136,Ishimbay,RU,53.4545,56.0415,35.22,96,100,14.72,light rain
137,Faya,SA,18.3851,42.4509,48.31,30,0,4.85,clear sky
138,Amurzet,RU,47.6967,131.0981,2.98,74,1,8.9,clear sky
139,Ostrovnoy,RU,68.0531,39.5131,20.21,76,100,3.67,overcast clouds
140,Palmer,US,42.1584,-72.3287,32.49,48,20,3.0,few clouds
141,Oriximina,BR,-1.7656,-55.8661,74.7,96,44,2.42,light rain
142,Jaciara,BR,-15.9653,-54.9683,73.76,90,37,0.85,scattered clouds
143,Muros,ES,42.7762,-9.0603,58.08,94,82,16.22,broken clouds
144,Carauari,BR,-4.8828,-66.8958,73.35,97,93,1.68,overcast clouds
145,Prabumulih,ID,-3.45,104.25,79.48,86,100,3.94,overcast clouds
146,Pisco,PE,-13.7,-76.2167,65.01,88,0,11.5,clear sky
147,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,1,6.91,clear sky
148,Okhotsk,RU,59.3833,143.3,-16.83,88,46,16.55,scattered clouds
149,Nikolskoye,RU,59.7035,30.7861,25.02,95,100,5.46,overcast clouds
150,Thompson,CA,55.7435,-97.8558,-12.84,84,75,5.75,broken clouds
151,Hasaki,JP,35.7333,140.8333,59.29,52,0,4.97,clear sky
152,Rosetta,EG,31.4044,30.4164,62.42,70,100,7.18,overcast clouds
153,Menomonie,US,44.8755,-91.9193,36.39,93,62,8.05,broken clouds
154,Merauke,ID,-8.4667,140.3333,87.67,63,100,5.93,overcast clouds
155,Mar Del Plata,AR,-38.0023,-57.5575,59.09,85,90,1.01,overcast clouds
156,Cap Malheureux,MU,-19.9842,57.6142,79.47,71,23,5.99,few clouds
157,Zheleznodorozhnyy,RU,55.7503,38.0042,28.36,88,24,11.45,few clouds
158,Santa Isabel,BR,-23.3156,-46.2214,67.66,89,99,5.48,overcast clouds
159,Maragogi,BR,-9.0122,-35.2225,78.55,85,40,8.79,scattered clouds
160,Basmat,IN,19.3167,77.1667,64.27,56,38,6.02,scattered clouds
161,Mahebourg,MU,-20.4081,57.7,79.25,88,20,3.44,few clouds
162,Miramar,US,25.9873,-80.2323,73.99,72,20,0.0,few clouds
163,Vung Tau,VN,10.346,107.0843,75.13,82,99,5.37,overcast clouds
164,Houma,US,29.5958,-90.7195,64.4,96,60,5.21,broken clouds
165,Lavrentiya,RU,65.5833,-171.0,20.1,96,100,8.63,snow
166,High Prairie,CA,55.4334,-116.4858,22.3,88,100,2.95,overcast clouds
167,Turkistan,KZ,43.0,68.0,47.8,55,100,3.89,overcast clouds
168,Deputatskiy,RU,69.3,139.9,-40.4,95,57,5.79,broken clouds
169,Mount Isa,AU,-20.7333,139.5,100.17,19,40,18.41,scattered clouds
170,Muroto,JP,33.2833,134.15,51.84,54,5,16.6,clear sky
171,Saint Anthony,US,45.0205,-93.218,35.92,81,1,3.0,clear sky
172,Kawalu,ID,-7.3817,108.2082,82.35,73,94,2.06,overcast clouds
173,Sabzevar,IR,36.2126,57.6819,43.92,85,100,1.92,overcast clouds
174,Georgetown,MY,5.4112,100.3354,82.33,76,20,1.01,few clouds
175,Mazyr,BY,52.0495,29.2456,29.89,85,24,9.78,few clouds
176,Grants Pass,US,42.439,-123.3284,61.48,84,90,0.0,overcast clouds
177,Mount Gambier,AU,-37.8333,140.7667,63.14,55,76,10.31,broken clouds
178,Nishihara,JP,26.1842,127.7558,69.85,44,75,16.11,broken clouds
179,Hanyang,CN,32.1371,105.5126,47.41,63,100,2.21,overcast clouds
180,Paamiut,GL,61.994,-49.6678,27.61,67,100,11.99,light snow
181,Xining,CN,36.6167,101.7667,28.36,31,0,2.73,clear sky
182,Misratah,LY,32.3754,15.0925,56.12,66,71,26.51,broken clouds
183,Wuwei,CN,37.9281,102.6414,35.6,21,0,1.83,clear sky
184,Khatanga,RU,71.9667,102.5,-19.35,97,100,15.82,overcast clouds
185,Kuzovatovo,RU,53.5468,47.6866,36.21,81,97,16.13,overcast clouds
186,Cisternino,IT,40.7445,17.4243,51.22,70,100,23.4,overcast clouds
187,Soyo,AO,-6.1349,12.3689,78.58,87,100,8.55,light rain
188,Ilinskoye-Khovanskoye,RU,56.9718,39.7684,29.53,88,71,13.29,broken clouds
189,Opuwo,NA,-18.0607,13.84,67.17,39,63,2.98,broken clouds
190,Codrington,AU,-38.2667,141.9667,62.33,65,50,16.98,scattered clouds
191,Pevek,RU,69.7008,170.3133,-7.67,94,100,14.34,overcast clouds
192,Beroroha,MG,-21.6667,45.1667,76.59,65,0,5.75,clear sky
193,Bilma,NE,18.6853,12.9164,67.77,20,4,7.11,clear sky
194,Xam Nua,LA,20.4197,104.0439,58.66,40,16,2.44,few clouds
195,Udayagiri,IN,20.1333,84.3833,61.02,98,100,2.53,overcast clouds
196,Shitanjing,CN,39.2342,106.3439,34.32,16,40,4.03,scattered clouds
197,Cravo Norte,CO,6.3017,-70.2041,78.73,70,91,4.63,overcast clouds
198,Gushikawa,JP,26.3544,127.8686,69.8,42,20,18.41,few clouds
199,Buala,SB,-8.145,159.5921,84.36,72,100,0.63,light rain
200,Maniitsoq,GL,65.4167,-52.9,25.21,48,100,18.5,overcast clouds
201,Novonikolayevskiy,RU,50.9738,42.3649,43.79,84,100,1.01,overcast clouds
202,Kasongo-Lunda,CD,-6.4667,16.8167,68.05,98,100,0.67,overcast clouds
203,Sao Filipe,CV,14.8961,-24.4956,74.95,68,100,10.11,overcast clouds
204,Mogadishu,SO,2.0371,45.3438,79.07,74,14,12.1,few clouds
205,La Ligua,CL,-32.4524,-71.2311,58.78,67,0,1.32,clear sky
206,Inzer,RU,54.2167,57.5556,35.56,98,100,6.91,overcast clouds
207,Angarsk,RU,52.5367,103.8864,11.12,91,96,3.69,overcast clouds
208,Margate,GB,51.3813,1.3862,42.96,86,7,2.55,clear sky
209,Leshukonskoye,RU,64.8989,45.7622,-4.88,98,21,5.44,few clouds
210,Cherskiy,RU,68.75,161.3,-9.58,97,100,15.9,light snow
211,Kavaratti,IN,10.5669,72.642,81.16,74,98,2.01,overcast clouds
212,Kabo,CF,7.6994,18.629,74.97,58,97,1.43,overcast clouds
213,Qaanaaq,GL,77.484,-69.3632,6.67,92,100,3.49,overcast clouds
214,Port-Gentil,GA,-0.7193,8.7815,79.34,80,100,6.04,overcast clouds
215,Saint-Philippe,RE,-21.3585,55.7679,76.55,85,36,8.57,scattered clouds
216,Biak,ID,-0.9131,122.8766,82.36,71,100,0.56,light rain
217,Ebolowa,CM,2.9,11.15,69.04,98,100,1.12,overcast clouds
218,Beringovskiy,RU,63.05,179.3167,12.78,74,20,11.63,few clouds
219,Millau,FR,44.0833,2.9167,48.99,98,100,9.71,overcast clouds
220,Tilichiki,RU,60.4667,166.1,18.09,86,59,4.12,broken clouds
221,Enterprise,US,36.0252,-115.2419,61.34,35,1,3.0,clear sky
222,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,73.06,92,67,3.67,broken clouds
223,Itoman,JP,26.1247,127.6694,70.57,43,75,25.32,broken clouds
224,Cartagena,CO,10.3997,-75.5144,80.22,89,20,8.05,few clouds
225,Samarai,PG,-10.6167,150.6667,84.07,74,64,9.08,broken clouds
226,Soe,ID,-9.8607,124.284,69.53,91,100,2.53,moderate rain
227,Kangaatsiaq,GL,68.3065,-53.4641,20.46,61,100,29.48,overcast clouds
228,Chernigovka,RU,44.3389,132.5728,8.49,75,55,9.84,broken clouds
229,Kaduna,NG,10.5222,7.4383,66.18,29,98,6.46,overcast clouds
230,Durgapur,IN,23.4833,87.3167,70.74,65,100,1.41,overcast clouds
231,Lakes Entrance,AU,-37.8811,147.981,67.15,51,40,11.34,scattered clouds
232,Manado,ID,1.487,124.8455,84.97,70,20,6.91,few clouds
